//任务系统配置表格,,,,,,,,,,
id(任务id),任务类型（0npc，1任意杀怪，2指定杀怪，3引导型）,计数变量,数量要求,地图编号或npcID或引导面板ID,地图坐标或引导界面节点id,能否提前完成（0不能，1能）,奖励id,奖励数量,奖励类型（0为道具，1为货币）,任务内容
1,1,U7,15,1dl101,52#87,0,4,200000,1,前往天然洞穴击杀15只怪
2,3,U7,1,main/main_root,yd2,0,0,0,0,装备回收
3,0,U7,5,7,,1,0,0,0,勋章提升至5级
4,1,U7,20,1dl201,46#64,0,4,200000,1,前往半兽洞穴击杀20只怪
5,0,U7,5,10,,1,0,0,0,不败之盾提升至5级
6,1,U7,20,1dl301,128#131,0,20,500,1,前往蚂蚁洞穴击杀20只怪
7,0,U7,1,19,,1,0,0,0,永恒玫瑰提升1次
8,1,U7,30,1dl401,61#68,0,30123#4#2602,1#100000#10,0#1#1,前往祖玛神殿击杀30只怪
9,0,U7,1,9,,1,0,0,0,称号提升1次
10,1,U7,30,1dl501,20#19,0,4#2609,200000#200,1#0,沃玛神殿击杀30只怪
11,0,U7,5,8,,1,0,0,0,引导转生5次
12,0,U7,1,14,,0,0,0,0,前往2大陆
